CustomerId,Age,ContractMonths,MonthlySpend,UsageHours,SupportCalls,Region,Plan,InternetType,AutoPay,Churn,TenureGroup,HighSupport
C0001,43.0,15,1466.59,15.8,3,Север,Базовый,Оптика,Нет,Нет,Стабильный,0
C0002,25.0,25,1315.95,15.5,1,Центр,Базовый,Оптика,Нет,Нет,Стабильный,0
C0003,49.0,5,1901.22,15.0,5,Восток,Стандарт,DSL,Да,Нет,Новый,1
C0004,51.0,48,1159.31,14.7,2,Центр,Базовый,Оптика,Да,Нет,Долгосрочный,0
C0005,18.0,39,1079.2,20.8,3,Восток,Стандарт,Мобильный,Да,Нет,Долгосрочный,0
C0006,22.0,6,1655.92,34.7,1,Восток,Базовый,Оптика,Да,Нет,Новый,0
C0007,41.0,14,789.67,37.7,0,Восток,Стандарт,Оптика,Да,Нет,Стабильный,0
C0008,35.0,34,1617.57,28.7,0,Центр,Стандарт,Оптика,Нет,Нет,Стабильный,0
C0009,39.0,33,1494.1,31.4,2,Центр,Базовый,DSL,Нет,Нет,Стабильный,0
C0010,28.0,49,1386.6,38.6,4,Юг,Базовый,DSL,Да,Нет,Долгосрочный,1
C0011,50.0,16,2132.96,8.1,1,Юг,Стандарт,Оптика,Да,Нет,Стабильный,0
C0012,49.0,56,1182.45,32.7,5,Запад,Стандарт,Оптика,Да,Нет,Долгосрочный,1
C0013,40.0,27,2335.93,54.4,4,Север,Стандарт,Оптика,Да,Нет,Стабильный,1
C0014,54.0,50,1353.06,26.5,1,Запад,Стандарт,DSL,Да,Нет,Долгосрочный,0
C0015,45.0,15,900.88,49.2,1,Центр,Стандарт,Мобильный,Нет,Нет,Стабильный,0
C0016,28.0,3,1480.07,26.8,1,Север,Базовый,DSL,Да,Да,Новый,0
C0017,44.0,4,987.21,39.8,1,Центр,Стандарт,Оптика,Нет,Нет,Новый,0
C0018,27.0,23,1126.74,34.3,2,Восток,Базовый,Оптика,Да,Нет,Стабильный,0
C0019,50.0,58,1620.72,14.9,0,Центр,Стандарт,Оптика,Нет,Нет,Долгосрочный,0
C0020,38.0,3,1688.9,17.0,1,Центр,Базовый,DSL,Нет,Нет,Новый,0
C0021,37.0,23,1182.47,59.2,3,Восток,Базовый,DSL,Да,Нет,Стабильный,0
C0022,30.0,7,1874.58,44.2,1,Юг,Стандарт,Оптика,Да,Нет,Новый,0
C0023,55.0,56,1947.73,27.8,4,Центр,Стандарт,Оптика,Нет,Нет,Долгосрочный,1
C0024,37.0,41,2067.61,25.9,2,Центр,Стандарт,DSL,Да,Нет,Долгосрочный,0
C0025,33.0,46,1677.65,18.7,3,Юг,Стандарт,Оптика,Да,Нет,Долгосрочный,0
C0026,34.0,43,2036.27,35.8,2,Север,Премиум,Оптика,Да,Нет,Долгосрочный,0
C0027,46.0,40,641.26,19.6,1,Центр,Премиум,DSL,Да,Нет,Долгосрочный,0
C0028,44.0,47,1313.3,24.1,2,Юг,Премиум,Оптика,Нет,Нет,Долгосрочный,0
C0029,44.0,1,1077.19,20.7,1,Центр,Стандарт,DSL,Да,Да,Новый,0
C0030,45.0,52,1501.27,42.8,1,Юг,Стандарт,Оптика,Да,Нет,Долгосрочный,0
C0031,67.0,45,1204.28,27.2,0,Север,Стандарт,DSL,Да,Нет,Долгосрочный,0
C0032,34.0,45,1378.55,31.5,2,Центр,Стандарт,Оптика,Нет,Да,Долгосрочный,0
C0033,32.0,24,2259.34,15.0,2,Центр,Базовый,Оптика,Нет,Нет,Стабильный,0
C0034,28.0,49,1377.02,20.6,4,Центр,Стандарт,Оптика,Да,Нет,Долгосрочный,1
C0035,47.0,23,1627.93,31.9,2,Центр,Базовый,Оптика,Да,Нет,Стабильный,0
C0036,54.0,3,1350.12,11.1,1,Север,Базовый,Мобильный,Да,Нет,Новый,0
C0037,38.0,55,1482.56,26.1,1,Запад,Премиум,Оптика,Да,Нет,Долгосрочный,0
C0038,39.0,15,1452.59,29.1,3,Запад,Базовый,Мобильный,Да,Нет,Стабильный,0
C0039,28.0,7,1642.78,13.9,2,Север,Стандарт,DSL,Да,Нет,Новый,0
C0040,47.0,38,1951.08,48.1,1,Юг,Стандарт,Оптика,Да,Нет,Долгосрочный,0
C0041,49.0,15,2158.38,35.0,1,Юг,Базовый,DSL,Нет,Да,Стабильный,0
C0042,46.0,52,1583.14,27.1,2,Запад,Премиум,Оптика,Да,Нет,Долгосрочный,0
C0043,30.0,27,1703.51,19.8,0,Центр,Базовый,Оптика,Нет,Нет,Стабильный,0
C0044,42.0,1,955.13,10.9,0,Центр,Премиум,Мобильный,Да,Нет,Новый,0
C0045,41.0,58,1412.21,46.3,2,Север,Стандарт,Оптика,Да,Нет,Долгосрочный,0
C0046,42.0,31,1854.32,22.9,1,Центр,Базовый,Оптика,Да,Нет,Стабильный,0
C0047,50.0,16,1822.37,12.6,1,Север,Базовый,DSL,Нет,Нет,Стабильный,0
C0048,42.0,41,1540.99,19.5,0,Запад,Базовый,DSL,Нет,Нет,Долгосрочный,0
C0049,48.0,32,1831.15,36.8,0,Запад,Стандарт,Оптика,Да,Нет,Стабильный,0
C0050,40.0,2,1661.03,33.1,4,Центр,Базовый,DSL,Нет,Нет,Новый,1
C0051,43.0,46,1966.13,15.8,2,Север,Премиум,DSL,Да,Нет,Долгосрочный,0
C0052,47.0,25,1574.42,50.3,1,Север,Базовый,Мобильный,Да,Нет,Стабильный,0
C0053,20.0,42,1297.05,12.5,1,Юг,Премиум,Мобильный,Да,Нет,Долгосрочный,0
C0054,35.0,54,1594.41,55.4,4,Юг,Базовый,Оптика,Да,Нет,Долгосрочный,1
C0055,33.0,37,350.0,32.4,3,Центр,Премиум,Оптика,Да,Нет,Долгосрочный,0
C0057,35.0,16,350.0,25.6,0,Запад,Стандарт,DSL,Да,Нет,Стабильный,0
C0058,58.0,15,1466.59,30.6,2,Центр,Стандарт,Оптика,Да,Нет,Стабильный,0
C0059,28.0,25,1644.26,38.3,2,Восток,Базовый,Оптика,Да,Нет,Стабильный,0
C0060,52.0,52,1655.34,9.7,0,Юг,Премиум,Мобильный,Да,Нет,Долгосрочный,0
C0061,18.0,32,950.16,19.2,1,Север,Базовый,Мобильный,Да,Нет,Стабильный,0
C0062,35.0,21,1143.8,30.1,3,Центр,Стандарт,Оптика,Нет,Нет,Стабильный,0
C0063,41.0,47,2039.33,51.3,2,Юг,Стандарт,DSL,Нет,Нет,Долгосрочный,0
C0064,47.0,52,1241.87,50.3,3,Центр,Стандарт,Оптика,Да,Нет,Долгосрочный,0
C0065,48.0,55,2414.46,61.1,1,Запад,Базовый,DSL,Нет,Да,Долгосрочный,0
C0066,49.0,18,1449.17,49.1,1,Север,Базовый,Мобильный,Да,Нет,Стабильный,0
C0067,34.0,43,1625.46,18.4,3,Север,Базовый,DSL,Да,Нет,Долгосрочный,0
C0068,33.0,36,2145.26,29.1,1,Север,Базовый,DSL,Да,Да,Стабильный,0
C0069,50.0,27,1466.59,49.3,4,Запад,Базовый,Оптика,Да,Нет,Стабильный,1
C0070,37.0,24,1018.99,46.9,1,Центр,Премиум,Оптика,Да,Нет,Стабильный,0
C0071,22.0,7,1402.82,26.3,2,Центр,Стандарт,Мобильный,Нет,Нет,Новый,0
C0072,24.0,17,1434.69,37.7,0,Центр,Стандарт,DSL,Да,Нет,Стабильный,0
C0073,27.0,33,863.16,22.8,0,Восток,Базовый,Мобильный,Нет,Да,Стабильный,0
C0074,45.0,54,1339.99,11.9,4,Запад,Базовый,DSL,Нет,Нет,Долгосрочный,1
C0075,41.0,52,1130.86,27.5,1,Центр,Стандарт,DSL,Нет,Нет,Долгосрочный,0
C0076,48.0,12,1847.47,26.7,2,Запад,Базовый,Оптика,Да,Нет,Новый,0
C0077,33.0,41,1464.88,22.2,1,Центр,Базовый,DSL,Нет,Нет,Долгосрочный,0
C0078,41.0,6,1328.4,38.3,2,Юг,Стандарт,Оптика,Да,Нет,Новый,0
C0079,47.0,41,1404.34,25.9,5,Центр,Стандарт,DSL,Да,Нет,Долгосрочный,1
C0080,35.0,21,1545.94,35.7,2,Юг,Премиум,DSL,Да,Нет,Стабильный,0
C0081,45.0,27,1715.23,42.4,0,Восток,Базовый,Оптика,Нет,Нет,Стабильный,0
C0082,30.0,44,1020.12,70.45,1,Юг,Стандарт,DSL,Да,Нет,Долгосрочный,0
C0083,34.0,26,1002.12,27.8,1,Центр,Базовый,Оптика,Да,Нет,Стабильный,0
C0084,34.0,49,1925.01,51.6,1,Запад,Базовый,Оптика,Нет,Нет,Долгосрочный,0
C0085,23.0,33,1272.7,32.9,3,Запад,Стандарт,DSL,Да,Нет,Стабильный,0
C0086,45.0,60,840.76,33.9,2,Север,Базовый,Оптика,Нет,Да,Долгосрочный,0
C0087,33.0,39,1640.84,28.0,1,Юг,Стандарт,DSL,Да,Нет,Долгосрочный,0
C0088,39.0,18,1649.25,31.5,1,Восток,Стандарт,Оптика,Да,Нет,Стабильный,0
C0089,45.0,47,791.79,70.45,2,Центр,Базовый,DSL,Да,Нет,Долгосрочный,0
C0090,45.0,25,1548.68,47.2,1,Запад,Премиум,Мобильный,Да,Нет,Стабильный,0
