CustomerId,Age,ContractMonths,MonthlySpend,UsageHours,SupportCalls,Region,Plan,InternetType,AutoPay,Churn
C0001,43.0,15,1466.59,15.8,3,Север,Базовый,Оптика,Нет,Нет
C0002,25.0,25,1315.95,15.5,1,Центр,Базовый,Оптика,Нет,Нет
C0003,49.0,5,1901.22,15.0,5,Восток,Стандарт,DSL,Да,Нет
C0004,51.0,48,1159.31,14.7,2,Центр,Базовый,Оптика,Да,Нет
C0005,18.0,39,1079.2,20.8,3,Восток,Стандарт,Мобильный,Да,Нет
C0006,22.0,6,1655.92,34.7,1,Восток,Базовый,Оптика,Да,Нет
C0007,41.0,14,789.67,37.7,0,Восток,Стандарт,Оптика,Да,Нет
C0008,35.0,34,1617.57,28.7,0,Центр,Стандарт,Оптика,Нет,Нет
C0009,39.0,33,1494.1,31.4,2,Центр,Базовый,DSL,Нет,Нет
C0010,28.0,49,1386.6,38.6,4,Юг,Базовый,DSL,Да,Нет
C0011,50.0,16,2132.96,8.1,1,Юг,Стандарт,Оптика,Да,Нет
C0012,49.0,56,1182.45,32.7,5,Запад,Стандарт,Оптика,Да,Нет
C0013,40.0,27,2335.93,54.4,4,Север,Стандарт,Оптика,Да,Нет
C0014,54.0,50,1353.06,26.5,1,Запад,Стандарт,DSL,Да,Нет
C0015,45.0,15,900.88,49.2,1,Центр,Стандарт,Мобильный,Нет,Нет
C0016,28.0,3,1480.07,26.8,1,Север,Базовый,DSL,Да,Да
C0017,44.0,4,987.21,39.8,1,Центр,Стандарт,Оптика,Нет,Нет
C0018,27.0,23,1126.74,34.3,2,Восток,Базовый,Оптика,Да,Нет
C0019,50.0,58,1620.72,14.9,0,Центр,Стандарт,Оптика,Нет,Нет
C0020,38.0,3,1688.9,17.0,1,Центр,Базовый,DSL,Нет,Нет
C0021,37.0,23,1182.47,59.2,3,Восток,Базовый,DSL,Да,Нет
C0022,30.0,7,1874.58,44.2,1,Юг,Стандарт,Оптика,Да,Нет
C0023,55.0,56,1947.73,27.8,4,Центр,Стандарт,Оптика,Нет,Нет
C0024,37.0,41,2067.61,25.9,2,Центр,Стандарт,DSL,Да,Нет
C0025,33.0,46,1677.65,18.7,3,Юг,Стандарт,Оптика,Да,Нет
C0026,34.0,43,2036.27,35.8,2,Север,Премиум,Оптика,Да,Нет
C0027,46.0,40,641.26,19.6,1,Центр,Премиум,DSL,Да,Нет
C0028,44.0,47,1313.3,24.1,2,Юг,Премиум,Оптика,Нет,Нет
C0029,44.0,1,1077.19,20.7,1,Центр,Стандарт,DSL,Да,Да
C0030,45.0,52,1501.27,42.8,1,Юг,Стандарт,Оптика,Да,Нет
C0031,67.0,45,1204.28,27.2,0,Север,Стандарт,DSL,Да,Нет
C0032,34.0,45,1378.55,31.5,2,Центр,Стандарт,Оптика,Нет,Да
C0033,32.0,24,2259.34,15.0,2,Центр,Базовый,Оптика,Нет,Нет
C0034,28.0,49,1377.02,20.6,4,Центр,Стандарт,Оптика,Да,Нет
C0035,47.0,23,1627.93,31.9,2,Центр,Базовый,Оптика,Да,Нет
C0036,54.0,3,1350.12,11.1,1,Север,Базовый,Мобильный,Да,Нет
C0037,38.0,55,1482.56,26.1,1,Запад,Премиум,Оптика,Да,Нет
