Area,Rooms,Floor,BuildingAge,MetroMinutes,District,Renovation,PriceMillion
48.9,1,22,36,10.4,Центр,Обычный,14.4
102.9,3,8,13,5.9,Центр,Обычный,30.35
82.7,3,2,43,21.3,Центр,Без ремонта,17.19
71.3,2,17,51,10.3,Юг,Хороший,17.58
69.5,3,23,34,12.0,Юг,Обычный,15.59
120.5,5,22,26,2.9,Север,Обычный,30.07
133.9,5,11,56,23.1,Восток,Хороший,29.99
48.8,1,5,9,24.7,Юг,Обычный,7.03
104.4,5,5,38,20.5,Центр,Хороший,25.68
62.9,2,22,38,5.5,Юг,Без ремонта,13.81
141.1,5,14,28,25.1,Юг,Без ремонта,26.71
135.6,4,18,3,32.6,Юг,Обычный,26.4
102.4,4,21,6,31.9,Север,Обычный,19.32
116.1,5,24,1,33.9,Юг,Обычный,25.05
88.3,4,8,30,30.8,Север,Обычный,17.67
124.6,4,9,47,25.4,Север,Без ремонта,25.1
80.5,3,16,35,7.8,Север,Обычный,19.52
67.6,3,23,18,34.9,Восток,Хороший,14.81
60.5,2,21,40,9.2,Запад,Обычный,12.0
54.5,2,5,37,14.7,Юг,Обычный,10.32
89.5,3,23,31,33.0,Юг,Хороший,20.85
78.4,2,19,27,34.8,Север,Хороший,19.99
105.6,4,21,40,12.2,Юг,Обычный,18.05
29.5,1,24,60,33.0,Запад,Хороший,11.53
80.4,2,2,19,7.4,Север,Обычный,19.14
70.7,2,14,5,9.8,Юг,Хороший,18.0
50.9,2,1,54,4.0,Запад,Без ремонта,6.26
97.6,1,4,60,24.7,Восток,Без ремонта,13.86
78.9,3,9,55,4.4,Восток,Обычный,20.13
63.1,2,25,42,20.3,Юг,Хороший,15.56
52.5,2,17,32,16.5,Центр,Хороший,18.14
130.3,4,15,60,12.2,Юг,Обычный,25.37
121.3,3,3,31,26.0,Север,Обычный,23.44
99.0,4,7,11,23.1,Центр,Хороший,26.59
68.4,1,1,28,13.7,Юг,Хороший,18.41
138.8,5,23,17,9.0,Юг,Обычный,32.1
93.9,3,11,6,29.5,Восток,Обычный,21.34
78.6,2,21,7,23.4,Восток,Обычный,16.8
133.4,5,2,6,34.4,Север,Обычный,28.77
65.4,3,24,60,8.4,Восток,Без ремонта,16.6
109.4,4,14,52,33.8,Юг,Без ремонта,20.91
64.7,2,17,17,33.3,Юг,Обычный,16.0
58.6,1,19,15,32.3,Восток,Обычный,8.97
110.0,5,6,15,16.0,Юг,Обычный,19.42
54.7,2,12,16,27.9,Восток,Обычный,13.87
85.7,3,15,33,18.0,Запад,Обычный,19.02
95.9,4,20,36,29.1,Юг,Хороший,13.52
50.1,1,13,53,10.7,Восток,Без ремонта,10.88
113.6,4,15,52,27.1,Север,Обычный,25.67
92.2,3,13,33,7.3,Север,Хороший,24.17
100.7,3,8,14,11.7,Центр,Обычный,26.09
71.5,1,1,0,16.1,Восток,Обычный,12.5
77.2,3,21,13,6.9,Север,Хороший,24.07
85.9,3,7,19,11.1,Север,Хороший,28.07
83.0,4,10,14,25.6,Запад,Без ремонта,23.37
107.0,5,7,38,25.5,Север,Хороший,25.3
95.5,3,18,37,29.6,Север,Обычный,20.08
76.7,3,3,29,32.0,Север,Хороший,20.16
28.2,1,12,36,10.5,Восток,Хороший,7.25
120.9,4,10,13,26.5,Юг,Обычный,23.54
88.8,3,16,17,7.2,Юг,Обычный,21.67
66.2,3,12,21,24.3,Север,Обычный,15.83
86.5,4,6,24,2.6,Запад,Обычный,20.15
38.9,1,18,26,3.2,Север,Обычный,10.79
133.9,6,20,59,29.6,Центр,Обычный,27.68
143.8,5,13,0,25.9,Восток,Без ремонта,27.96
34.9,1,18,27,11.9,Запад,Без ремонта,10.68
69.9,1,12,38,26.7,Север,Хороший,15.12
113.4,4,14,0,12.3,Центр,Обычный,27.49
64.8,2,4,51,20.4,Центр,Обычный,15.57
94.3,4,15,25,27.5,Запад,Без ремонта,16.34
76.7,3,6,10,8.3,Юг,Обычный,19.26
118.6,5,22,55,14.0,Восток,Хороший,24.16
140.1,5,9,48,13.6,Запад,Обычный,27.88
131.9,5,5,20,24.2,Запад,Обычный,29.08
100.6,4,4,24,9.1,Восток,Обычный,17.95
46.8,1,1,3,22.4,Север,Обычный,14.71
138.8,5,7,16,26.9,Центр,Без ремонта,33.61
30.8,1,7,1,9.6,Север,Обычный,9.66
62.8,3,11,35,14.0,Центр,Обычный,20.79
60.9,2,1,15,3.5,Запад,Обычный,16.56
106.6,4,6,10,19.7,Восток,Хороший,27.22
85.0,3,22,21,18.6,Восток,Обычный,21.68
38.9,2,7,18,24.6,Юг,Обычный,13.79
29.5,3,23,52,19.9,Восток,Обычный,8.18
98.7,5,20,49,30.5,Юг,Хороший,27.76
85.5,4,3,47,29.9,Центр,Обычный,23.27
98.4,4,10,26,5.8,Запад,Хороший,29.58
94.0,3,1,41,21.5,Север,Обычный,19.81
132.2,4,10,58,24.6,Центр,Обычный,30.5
135.5,4,11,22,17.3,Юг,Хороший,35.72
50.0,2,20,16,11.1,Центр,Хороший,17.35
138.2,6,9,12,7.0,Юг,Обычный,27.91
120.2,4,20,14,26.8,Запад,Хороший,34.11
102.8,4,13,6,2.6,Юг,Обычный,19.19
105.2,3,18,32,19.4,Север,Без ремонта,23.11
91.9,2,9,16,34.8,Юг,Обычный,16.2
135.3,5,15,49,25.8,Север,Обычный,27.46
55.3,1,1,42,7.5,Север,Без ремонта,6.75
98.1,3,2,48,30.0,Запад,Хороший,21.77
123.3,6,19,19,23.7,Север,Хороший,26.65
43.8,2,22,14,27.8,Запад,Обычный,11.04
100.0,4,2,37,10.8,Запад,Обычный,23.64
75.1,3,16,11,33.1,Запад,Без ремонта,11.75
117.6,4,3,7,24.4,Центр,Хороший,33.05
35.9,1,24,20,9.8,Центр,Хороший,17.75
99.0,4,2,25,13.4,Центр,Хороший,22.67
128.3,5,5,24,7.8,Восток,Обычный,27.1
101.5,3,21,60,2.3,Юг,Обычный,19.59
65.6,1,3,11,4.4,Запад,Обычный,24.63
104.7,3,5,60,7.0,Центр,Без ремонта,23.42
67.6,3,23,10,30.7,Юг,Хороший,13.65
106.2,5,2,52,22.1,Запад,Без ремонта,21.31
43.0,2,8,45,16.7,Восток,Без ремонта,4.86
60.8,3,22,53,19.1,Север,Без ремонта,10.15
31.8,1,24,18,33.1,Север,Обычный,10.62
37.8,2,4,38,14.9,Юг,Обычный,8.43
92.9,3,19,56,15.2,Центр,Обычный,23.08
55.1,2,24,23,7.8,Север,Обычный,16.87
88.4,1,6,32,6.9,Запад,Обычный,24.36
105.2,4,13,53,2.8,Центр,Обычный,27.35
131.1,5,16,2,20.3,Запад,Без ремонта,25.2
69.5,4,9,37,20.8,Центр,Хороший,21.15
65.3,2,9,43,19.4,Север,Хороший,17.25
64.7,2,10,2,26.4,Центр,Обычный,17.53
41.8,1,21,11,6.9,Север,Хороший,15.77
105.6,4,1,55,21.1,Юг,Обычный,18.99
123.9,5,17,25,33.2,Юг,Без ремонта,27.52
83.3,3,14,29,22.0,Запад,Без ремонта,18.09
93.3,3,19,26,27.7,Восток,Обычный,15.69
140.1,6,19,16,18.7,Север,Без ремонта,29.26
109.8,4,8,2,5.6,Юг,Хороший,28.96
115.2,4,12,21,34.5,Север,Хороший,27.24
132.1,4,1,55,13.5,Восток,Хороший,32.95
53.2,3,12,46,7.7,Юг,Хороший,12.28
104.1,4,11,17,20.9,Восток,Обычный,18.97
111.9,3,21,5,6.0,Центр,Хороший,33.39
126.5,4,18,36,14.3,Запад,Обычный,26.64
68.2,2,10,41,20.0,Запад,Обычный,14.23
108.6,5,23,15,2.3,Восток,Обычный,27.87
98.7,4,13,34,31.3,Центр,Обычный,21.3
75.9,3,8,35,10.0,Север,Без ремонта,12.61
39.9,1,16,20,20.9,Север,Хороший,9.51
69.3,3,12,51,24.2,Юг,Обычный,15.35
140.7,5,25,50,15.4,Центр,Обычный,32.53
53.3,3,23,10,32.0,Север,Обычный,11.0
41.3,1,1,7,27.7,Юг,Обычный,3.65
71.0,2,7,25,23.9,Запад,Обычный,17.35
39.8,2,11,32,21.4,Запад,Обычный,7.5
59.3,2,18,32,28.4,Восток,Без ремонта,12.15
135.0,6,16,26,5.0,Центр,Хороший,35.17
65.3,3,23,6,31.0,Юг,Хороший,17.27
96.5,2,4,27,12.8,Запад,Обычный,19.56
55.9,2,16,36,3.6,Север,Обычный,14.89
106.2,4,23,52,14.1,Центр,Без ремонта,19.28
42.9,1,3,60,13.1,Север,Обычный,7.43
120.4,5,17,19,35.0,Юг,Хороший,27.97
77.5,2,17,49,11.5,Запад,Обычный,20.9
49.5,2,2,2,13.3,Запад,Хороший,16.84
116.7,5,2,31,29.5,Центр,Обычный,25.67
92.9,4,2,24,28.7,Восток,Хороший,20.28
79.3,2,8,12,17.2,Юг,Хороший,19.52
56.2,2,18,21,30.8,Восток,Обычный,9.18
119.4,4,23,6,2.5,Запад,Обычный,30.9
70.7,2,18,25,25.9,Восток,Обычный,19.72
33.0,2,18,53,4.6,Юг,Обычный,7.01
140.9,5,10,0,7.6,Центр,Обычный,29.68
31.6,1,6,45,33.7,Запад,Обычный,4.57
42.1,1,14,30,34.6,Запад,Без ремонта,6.73
82.5,4,18,46,23.0,Восток,Обычный,16.23
52.3,3,22,30,16.8,Запад,Без ремонта,14.62
67.2,3,15,28,30.8,Север,Хороший,19.35
94.4,3,25,16,15.7,Север,Обычный,19.62
140.1,5,21,2,20.2,Запад,Без ремонта,32.34
137.5,5,24,36,5.6,Север,Обычный,34.53
36.6,1,17,34,19.1,Юг,Хороший,6.31
127.8,5,6,29,6.4,Север,Хороший,30.34
47.6,2,21,30,12.6,Север,Обычный,12.42
122.9,4,16,4,10.1,Юг,Обычный,30.32
62.7,3,19,2,26.2,Восток,Без ремонта,9.28
112.0,4,8,50,23.4,Восток,Хороший,24.24
112.1,3,3,23,29.6,Центр,Без ремонта,22.42
127.5,4,25,24,31.4,Север,Без ремонта,22.65
142.6,6,12,39,5.6,Запад,Без ремонта,29.68
60.2,3,15,38,34.7,Запад,Хороший,17.16
101.5,3,2,8,30.1,Север,Обычный,22.84
114.5,5,22,30,13.6,Запад,Хороший,31.72
37.3,1,8,16,20.8,Восток,Хороший,10.06
105.6,2,1,30,4.4,Север,Хороший,25.79
65.6,2,8,13,9.0,Юг,Без ремонта,14.47
46.9,1,4,40,12.4,Север,Хороший,16.61
92.3,4,12,45,18.8,Центр,Хороший,23.29
82.0,3,17,22,5.0,Север,Хороший,22.2
95.5,3,9,23,34.7,Юг,Обычный,16.2
103.1,2,5,25,31.9,Восток,Без ремонта,19.24
86.3,2,6,39,14.8,Запад,Обычный,15.16
133.9,5,4,14,29.1,Запад,Обычный,25.78
48.8,1,22,24,18.7,Центр,Без ремонта,12.87
61.8,3,13,40,10.0,Запад,Без ремонта,10.85
69.7,2,2,26,20.1,Центр,Обычный,18.97
118.6,4,11,33,6.5,Центр,Обычный,27.35
104.3,4,12,7,23.0,Север,Без ремонта,15.98
52.2,1,18,47,29.8,Север,Обычный,8.69
115.1,3,17,26,3.4,Запад,Обычный,28.79
118.3,3,19,5,4.8,Юг,Хороший,29.45
118.1,4,5,60,10.5,Север,Обычный,26.09
37.2,2,1,21,7.4,Юг,Без ремонта,3.0
52.8,2,12,45,5.0,Запад,Хороший,14.54
132.8,5,9,35,26.9,Север,Хороший,31.31
130.9,4,9,42,10.0,Запад,Без ремонта,25.9
52.1,2,23,22,26.7,Восток,Обычный,13.57
92.5,2,22,49,11.6,Юг,Хороший,22.42
58.7,1,20,58,16.7,Восток,Обычный,10.67
76.7,2,2,3,26.3,Юг,Хороший,20.45
30.5,1,6,57,32.1,Восток,Обычный,8.63
61.0,2,2,48,17.2,Север,Хороший,17.28
59.7,2,7,7,13.5,Юг,Обычный,15.25
135.5,5,12,48,23.7,Север,Обычный,25.13
96.8,4,8,6,10.2,Север,Без ремонта,21.4
48.8,3,18,40,9.8,Запад,Хороший,16.04
78.0,3,3,12,6.9,Восток,Хороший,18.56
85.7,4,22,55,11.4,Восток,Обычный,18.13
102.6,5,4,23,20.5,Север,Обычный,21.26
90.3,3,13,3,22.9,Восток,Хороший,25.16
77.3,2,15,57,32.8,Север,Обычный,12.43
64.4,3,25,5,11.5,Юг,Хороший,18.62
95.3,3,1,57,26.7,Запад,Без ремонта,17.23
142.2,6,17,56,22.8,Восток,Хороший,32.77
92.7,5,22,6,33.3,Юг,Хороший,22.19
131.8,4,24,25,33.8,Юг,Хороший,26.36
29.8,1,20,9,17.5,Север,Без ремонта,7.43
51.8,1,22,57,15.4,Восток,Обычный,15.39
129.2,5,1,12,29.7,Север,Обычный,28.31
94.6,4,23,29,2.7,Запад,Хороший,27.85
85.0,2,9,53,26.3,Запад,Обычный,13.44
71.2,3,1,26,29.7,Восток,Обычный,18.9
62.5,1,1,51,31.4,Север,Обычный,14.38
107.4,5,23,49,2.7,Юг,Обычный,23.49
70.8,2,10,25,22.2,Север,Хороший,19.52
78.9,3,17,28,15.4,Юг,Обычный,21.1
118.9,4,14,23,4.3,Север,Хороший,29.24
138.7,6,4,10,28.3,Восток,Обычный,26.76
144.3,5,23,39,15.6,Север,Без ремонта,30.94
84.7,4,3,26,21.0,Север,Хороший,20.69
44.2,1,2,44,14.0,Запад,Обычный,11.54
30.9,1,3,12,11.9,Центр,Без ремонта,9.27
85.9,2,11,25,28.5,Запад,Обычный,14.61
